make,model,price_usd,year,condition,mileage_kilometers,fuel_type,volume_cm3,color,transmission,drive_unit,segment,car_age,mileage_per_year,engine_volume_liters,brand_model
mazda,2,5500,2008,with mileage,162000.0,petrol,1500.0,burgundy,mechanics,front-wheel drive,b,18,9000.0,1.5,mazda 2
mazda,2,5350,2009,with mileage,120000.0,petrol,1300.0,black,mechanics,front-wheel drive,b,17,7058.823529411765,1.3,mazda 2
mazda,2,7000,2009,with mileage,61000.0,petrol,1500.0,silver,auto,front-wheel drive,b,17,3588.235294117647,1.5,mazda 2
mazda,2,3300,2003,with mileage,265000.0,diesel,1400.0,white,mechanics,front-wheel drive,b,23,11521.739130434782,1.4,mazda 2
mazda,2,5200,2008,with mileage,97183.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,18,5399.055555555556,1.4,mazda 2
mazda,2,3400,2005,with mileage,150000.0,petrol,1300.0,blue,mechanics,front-wheel drive,b,21,7142.857142857143,1.3,mazda 2
mazda,2,5000,2008,with mileage,112000.0,petrol,1300.0,gray,mechanics,front-wheel drive,b,18,6222.222222222223,1.3,mazda 2
mazda,2,7300,2009,with mileage,95000.0,petrol,1500.0,other,auto,front-wheel drive,b,17,5588.235294117647,1.5,mazda 2
mazda,2,6400,2010,with mileage,93804.0,petrol,1500.0,other,mechanics,front-wheel drive,b,16,5862.75,1.5,mazda 2
mazda,2,6132,2008,with mileage,196511.0,petrol,1500.0,other,auto,front-wheel drive,b,18,10917.277777777777,1.5,mazda 2
mazda,2,5200,2008,with mileage,98000.0,diesel,1500.0,gray,mechanics,front-wheel drive,b,18,5444.444444444444,1.5,mazda 2
mazda,2,3299,2003,with mileage,314000.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,23,13652.173913043478,1.4,mazda 2
mazda,2,5400,2008,with mileage,150000.0,diesel,1400.0,purple,mechanics,front-wheel drive,b,18,8333.333333333334,1.4,mazda 2
mazda,2,6850,2010,with mileage,147000.0,petrol,1500.0,gray,auto,front-wheel drive,b,16,9187.5,1.5,mazda 2
mazda,2,5300,2008,with mileage,118000.0,diesel,1400.0,silver,mechanics,front-wheel drive,b,18,6555.555555555556,1.4,mazda 2
mazda,2,5670,2010,with mileage,148000.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,16,9250.0,1.4,mazda 2
mazda,2,5950,2009,with mileage,102860.0,petrol,1500.0,silver,mechanics,front-wheel drive,b,17,6050.588235294118,1.5,mazda 2
mazda,2,3500,2003,with mileage,191000.0,diesel,1400.0,blue,mechanics,front-wheel drive,b,23,8304.347826086956,1.4,mazda 2
mazda,2,5600,2008,with mileage,83168.0,petrol,1300.0,purple,mechanics,front-wheel drive,b,18,4620.444444444444,1.3,mazda 2
mazda,2,5200,2008,with mileage,104500.0,petrol,1500.0,burgundy,mechanics,front-wheel drive,b,18,5805.555555555556,1.5,mazda 2
mazda,2,3300,2003,with mileage,220754.0,petrol,1300.0,silver,mechanics,front-wheel drive,b,23,9598.0,1.3,mazda 2
mazda,2,6500,2010,with mileage,86000.0,petrol,1300.0,white,mechanics,front-wheel drive,b,16,5375.0,1.3,mazda 2
mazda,2,3200,2006,with mileage,210000.0,petrol,1400.0,silver,mechanics,front-wheel drive,b,20,10500.0,1.4,mazda 2
mazda,2,5300,2009,with mileage,108000.0,petrol,1300.0,purple,mechanics,front-wheel drive,b,17,6352.941176470588,1.3,mazda 2
mazda,2,3550,2005,with mileage,200000.0,petrol,1300.0,silver,mechanics,front-wheel drive,b,21,9523.809523809523,1.3,mazda 2
mazda,3,9800,2012,with mileage,83600.0,petrol,1600.0,black,auto,front-wheel drive,c,14,5971.428571428572,1.6,mazda 3
mazda,3,4200,2004,with mileage,340000.0,diesel,1600.0,blue,mechanics,front-wheel drive,c,22,15454.545454545454,1.6,mazda 3
mazda,3,8300,2012,with mileage,132500.0,petrol,1600.0,black,mechanics,front-wheel drive,c,14,9464.285714285714,1.6,mazda 3
mazda,3,7500,2009,with mileage,173808.72,petrol,2000.0,black,auto,front-wheel drive,c,17,10224.042352941176,2.0,mazda 3
mazda,3,5800,2006,with mileage,180000.0,petrol,1600.0,gray,auto,front-wheel drive,c,20,9000.0,1.6,mazda 3
mazda,3,5500,2007,with mileage,137000.0,petrol,1600.0,gray,mechanics,front-wheel drive,c,19,7210.526315789473,1.6,mazda 3
